iter	RMSE
0	1.004079641
1	0.9860681151
2	0.9694550685
3	0.9541236428
4	0.9378202106
5	0.9219876501
6	0.9061618262
7	0.8926415155
8	0.8785374931
9	0.8636958028
10	0.8486511248
11	0.8340935137
12	0.8214213811
13	0.808304945
14	0.7975263369
15	0.7844043837
16	0.7724308222
17	0.7597277256
18	0.7473334453
19	0.7353595918
20	0.7242830797
21	0.714118354
22	0.7028055952
23	0.6921779684
24	0.6831881922
25	0.6739527452
26	0.6633029267
27	0.6549799777
28	0.6462955428
29	0.6366360012
30	0.6289503097
31	0.6196593421
32	0.6097796869
33	0.6015468757
34	0.5945347964
35	0.5863052425
36	0.5786613873
37	0.5717991441
38	0.5651928067
39	0.5583278498
40	0.5508949264
41	0.5439196573
42	0.5368856068
43	0.5304457789
44	0.5242580558
45	0.5178344961
46	0.5120725982
47	0.5064176831
48	0.5004292895
49	0.4957310682
50	0.490819567
51	0.4858228556
52	0.4812287651
53	0.4764474087
54	0.4718939389
55	0.4675881812
56	0.4634442896
57	0.4596268814
58	0.455480037
59	0.4522473563
60	0.4482654273
61	0.4450781607
62	0.4414135658
63	0.4379453036
64	0.4342426476
65	0.4307418226
66	0.4276114863
67	0.4243647503
68	0.4205534301
69	0.4168797927
70	0.4138542647
71	0.4105012439
72	0.4076480393
73	0.4040534396
74	0.4009816472
75	0.3978653137
76	0.39482178
77	0.3918689209
78	0.3896287418
79	0.3871866936
80	0.3846342172
81	0.3828010588
82	0.3807932445
83	0.3776454923
84	0.3749895709
85	0.3725676412
86	0.3701357353
87	0.3675434765
88	0.3653397465
89	0.3628403437
90	0.3613976922
91	0.3594315136
92	0.3575613118
93	0.3558018974
94	0.3539016263
95	0.3515284864
96	0.3492358221
97	0.3473195308
98	0.3458968572
99	0.3439522128
100	0.3421568313
101	0.3406808087
102	0.3390591328
103	0.3371207342
104	0.3360080169
105	0.3344661136
106	0.3333825715
107	0.3317319983
108	0.3299488674
109	0.328603366
110	0.3272285018
111	0.3261706809
112	0.3251166435
113	0.323734065
114	0.322739984
115	0.3212641607
116	0.3200105278
117	0.3190618068
118	0.3182413422
119	0.3166890226
120	0.3156149284
121	0.3146403329
122	0.3134230127
123	0.312256909
124	0.3112491667
125	0.3100892358
126	0.3087018902
127	0.3075702022
128	0.3066063874
129	0.3052899505
130	0.3040459292
131	0.3035502714
132	0.3026663094
133	0.301823492
134	0.3009364173
135	0.3002616399
136	0.299322936
137	0.2977500845
138	0.2966261361
139	0.295984542
140	0.2950751033
141	0.2944357787
142	0.2936006189
143	0.2928768708
144	0.2919177047
145	0.2909957071
146	0.2903247056
147	0.2897709035
148	0.2888369965
149	0.2880665375
150	0.2871232724
151	0.2858928774
152	0.2852764858
153	0.2844287708
154	0.2837512757
155	0.283376696
156	0.2827331864
157	0.281941894
158	0.2814040825
159	0.2805459103
160	0.2793798749
161	0.2789326109
162	0.2780590967
163	0.2772419402
164	0.2766483694
165	0.2762325203
166	0.2756608031
167	0.2747914524
168	0.2739285045
169	0.2732828353
170	0.272599369
171	0.2720606986
172	0.2711383986
173	0.2703512753
174	0.2697670601
175	0.2690566928
176	0.2684249962
177	0.2676427556
178	0.2670069457
179	0.2663911215
180	0.2654639323
181	0.2649172999
182	0.2642863743
183	0.2637449445
184	0.2633101365
185	0.2623403798
186	0.2617971547
187	0.2611092887
188	0.2605757035
189	0.2598508036
190	0.2589840057
191	0.2584075187
192	0.257829354
193	0.2571968758
194	0.2567771128
195	0.2557831894
196	0.2552365124
197	0.2547430271
198	0.2540553447
199	0.2533270627
200	0.2528738589
201	0.2524034509
202	0.2517137438
203	0.2513411248
204	0.2507719049
205	0.2501100793
206	0.2495197308
207	0.2487345306
208	0.2480851311
209	0.2472712869
210	0.2466652895
211	0.246115588
212	0.2456594323
213	0.2448157401
214	0.2443265578
215	0.2439123074
216	0.2433688809
217	0.2428295563
218	0.2420276399
219	0.2414411456
220	0.2409427451
221	0.2402782951
222	0.2398493162
223	0.2393579069
224	0.2384696142
225	0.237986737
226	0.2375368174
227	0.2368180185
228	0.2361466201
229	0.2357410155
230	0.2352520272
231	0.2347995256
232	0.23406834
233	0.2332069936
234	0.2327519857
235	0.2323241646
236	0.2320029026
237	0.2315321151
238	0.2311090794
239	0.2305643274
240	0.2299499438
241	0.2292095887
242	0.2286048799
243	0.2280650539
244	0.2277497072
245	0.2272948903
246	0.2267406905
247	0.2263702363
248	0.2257602386
249	0.2250330879
250	0.2244055511
251	0.2241041309
252	0.2234736004
253	0.2227868638
254	0.2224246278
255	0.2219575295
256	0.221514089
257	0.2209767314
258	0.2205643985
259	0.220067568
260	0.2197295664
261	0.21899783
262	0.2184739983
263	0.2181265387
264	0.2174186773
265	0.2169269635
266	0.2161444327
267	0.2156683228
268	0.2152746756
269	0.2148361708
270	0.2144320365
