iter	Passed	Remaining
0	0	964
1	2	1247
2	4	1333
3	5	1427
4	7	1516
5	9	1504
6	10	1502
7	12	1503
8	13	1511
9	15	1501
10	16	1495
11	18	1532
12	20	1531
13	22	1571
14	23	1563
15	25	1557
16	27	1577
17	29	1590
18	30	1581
19	32	1571
20	33	1584
21	35	1578
22	45	1916
23	47	1949
24	49	1929
25	51	1917
26	52	1897
27	54	1884
28	55	1868
29	57	1850
30	58	1836
31	60	1821
32	61	1810
33	63	1797
34	65	1796
35	66	1785
36	68	1778
37	69	1770
38	71	1769
39	73	1759
40	75	1757
41	76	1749
42	78	1739
43	79	1730
44	81	1723
45	82	1716
46	84	1707
47	86	1712
48	87	1704
49	89	1699
50	90	1690
51	92	1688
52	94	1688
53	95	1680
54	97	1673
55	99	1670
56	103	1707
57	106	1734
58	108	1727
59	110	1726
60	111	1718
61	113	1711
62	114	1706
63	116	1701
64	117	1695
65	119	1688
66	120	1682
67	122	1676
68	123	1669
69	125	1663
70	126	1657
71	128	1657
72	130	1652
73	131	1647
74	133	1642
75	134	1639
76	136	1634
77	138	1631
78	139	1626
79	140	1621
80	142	1616
81	144	1612
82	145	1610
83	147	1604
84	149	1605
85	150	1600
86	152	1596
87	153	1593
88	155	1596
89	157	1592
90	159	1589
91	160	1585
92	162	1583
93	164	1580
94	165	1578
95	167	1578
96	169	1575
97	171	1574
98	172	1570
99	174	1566
100	175	1563
101	177	1562
102	179	1559
103	180	1555
104	182	1551
105	183	1548
106	185	1545
107	186	1541
108	188	1544
109	190	1541
110	192	1538
111	193	1535
112	195	1531
113	200	1554
114	202	1558
115	204	1555
116	205	1553
117	207	1549
118	209	1548
119	210	1544
120	213	1547
121	214	1544
122	216	1540
123	217	1537
124	219	1536
125	222	1541
126	223	1537
127	226	1545
128	228	1541
129	230	1543
130	232	1542
131	234	1543
132	236	1539
133	237	1536
134	239	1536
135	241	1532
136	242	1529
137	244	1525
138	246	1526
139	247	1522
140	250	1524
141	252	1527
142	254	1527
143	257	1529
144	260	1534
145	264	1544
146	270	1570
147	275	1586
148	279	1598
149	286	1622
150	292	1644
151	296	1651
152	300	1664
153	304	1670
154	307	1677
155	311	1686
156	319	1715
157	326	1739
158	331	1751
159	334	1755
160	336	1754
161	342	1773
162	349	1793
163	354	1805
164	358	1815
165	364	1830
166	368	1839
167	373	1847
168	377	1857
169	381	1864
170	386	1872
171	390	1881
172	396	1893
173	400	1899
174	402	1899
175	407	1908
176	411	1911
177	415	1919
178	419	1924
179	423	1930
180	429	1945
181	435	1957
182	438	1956
183	439	1950
184	442	1949
185	445	1948
186	446	1942
187	448	1937
188	452	1940
189	454	1939
190	458	1941
191	461	1941
192	462	1935
193	464	1929
194	466	1924
195	467	1919
196	469	1914
197	471	1908
198	472	1902
199	474	1896
200	475	1891
201	477	1886
202	479	1880
203	481	1877
204	482	1872
205	484	1867
206	485	1861
207	487	1856
208	489	1851
209	491	1847
210	492	1841
211	493	1835
212	496	1834
213	498	1830
214	499	1825
215	501	1819
216	503	1818
217	505	1812
218	506	1807
219	508	1803
220	510	1799
221	512	1794
222	513	1789
223	515	1784
224	517	1782
225	519	1778
226	520	1773
227	522	1768
228	523	1763
229	525	1758
230	526	1753
231	528	1748
232	530	1746
233	532	1742
234	534	1739
235	535	1734
236	537	1730
237	538	1725
238	541	1722
239	542	1718
240	544	1713
241	545	1708
242	547	1705
243	548	1700
244	550	1696
245	552	1692
246	554	1689
247	555	1684
248	557	1681
249	558	1676
250	560	1672
251	562	1669
252	564	1665
253	565	1661
254	567	1657
255	569	1654
256	571	1651
257	573	1648
258	574	1644
259	576	1641
260	578	1637
261	579	1633
262	581	1628
263	583	1627
264	585	1624
265	587	1620
266	588	1616
267	590	1612
268	591	1608
269	593	1605
270	595	1601
271	597	1599
272	599	1595
273	600	1591
274	602	1587
275	603	1584
276	605	1580
277	607	1576
278	608	1572
279	610	1568
280	611	1565
281	613	1562
282	615	1559
283	616	1555
284	618	1552
285	620	1549
286	622	1545
287	623	1541
288	625	1538
289	627	1535
290	629	1533
291	630	1529
292	632	1526
293	634	1522
294	635	1519
295	637	1516
296	639	1513
297	641	1510
298	642	1507
299	644	1504
300	646	1501
