iter	Passed	Remaining
0	27	27895
1	52	26258
2	74	24758
3	98	24591
4	127	25420
5	155	25812
6	178	25321
7	202	25084
8	222	24519
9	244	24204
10	267	24006
11	287	23695
12	307	23384
13	333	23473
14	351	23055
15	372	22921
16	391	22614
17	411	22472
18	432	22325
19	454	22271
20	473	22053
21	495	22032
22	517	21973
23	546	22216
24	568	22173
25	588	22041
26	611	22049
27	630	21902
28	651	21825
29	670	21678
30	691	21605
31	712	21544
32	733	21504
33	752	21382
34	775	21387
35	795	21310
36	815	21235
37	834	21135
38	855	21087
39	874	20998
40	895	20934
41	912	20818
42	937	20874
43	968	21053
44	987	20958
45	1014	21041
46	1051	21327
47	1085	21519
48	1132	21974
49	1169	22219
50	1194	22230
51	1226	22352
52	1256	22445
53	1298	22742
54	1339	23021
55	1362	22962
56	1381	22863
57	1398	22715
58	1416	22595
59	1432	22439
60	1451	22348
61	1466	22192
62	1482	22054
63	1501	21961
64	1520	21875
65	1541	21818
66	1558	21696
67	1578	21636
68	1603	21641
69	1632	21683
70	1654	21654
71	1678	21630
72	1703	21629
73	1727	21619
74	1767	21804
75	1787	21733
76	1806	21652
77	1829	21624
78	1849	21566
79	1868	21489
80	1886	21408
81	1904	21319
82	1920	21221
83	1937	21133
84	1956	21057
85	1973	20975
86	1990	20891
87	2007	20804
88	2033	20813
89	2052	20755
90	2071	20692
91	2097	20705
92	2118	20658
93	2138	20614
94	2159	20572
95	2181	20542
96	2198	20466
97	2219	20425
98	2239	20378
99	2275	20480
100	2316	20615
101	2358	20762
102	2391	20824
103	2424	20890
104	2461	20977
105	2507	21151
106	2541	21207
107	2559	21138
108	2579	21087
109	2598	21022
110	2620	20986
111	2637	20910
112	2655	20841
113	2671	20759
114	2686	20677
115	2703	20605
116	2733	20633
117	2757	20612
118	2776	20554
119	2796	20506
120	2817	20469
121	2844	20472
122	2883	20561
123	2921	20636
124	2960	20723
125	3010	20885
126	3054	20998
127	3099	21115
128	3126	21112
129	3143	21040
130	3161	20973
131	3180	20910
132	3196	20839
133	3213	20770
134	3229	20694
135	3246	20623
136	3264	20566
137	3281	20499
138	3298	20433
139	3319	20393
140	3337	20330
141	3355	20275
142	3375	20227
143	3394	20177
144	3414	20134
145	3432	20076
146	3450	20024
147	3472	19990
148	3495	19966
149	3513	19907
150	3531	19853
151	3552	19818
152	3573	19783
153	3591	19731
154	3608	19674
155	3629	19637
156	3648	19592
157	3668	19549
158	3688	19507
159	3707	19462
160	3744	19511
161	3761	19459
162	3781	19419
163	3801	19376
164	3821	19337
165	3840	19295
166	3859	19249
167	3877	19204
168	3897	19164
169	3915	19118
170	3937	19089
171	3955	19043
172	3974	19001
173	3992	18953
174	4010	18906
175	4031	18872
176	4051	18836
177	4078	18834
178	4102	18817
179	4123	18784
180	4142	18742
181	4162	18709
182	4182	18674
183	4203	18639
184	4221	18599
185	4242	18565
186	4262	18529
187	4283	18499
188	4316	18520
189	4340	18505
190	4358	18461
191	4378	18425
192	4395	18380
193	4410	18324
194	4428	18282
195	4444	18230
196	4461	18187
197	4476	18133
198	4492	18082
199	4510	18042
200	4526	17993
201	4547	17963
202	4562	17913
203	4583	17885
204	4602	17849
205	4623	17820
206	4644	17792
207	4664	17759
208	4681	17719
209	4726	17780
210	4752	17770
211	4771	17735
212	4798	17729
213	4815	17687
214	4839	17669
215	4863	17652
216	4880	17608
217	4896	17564
218	4915	17530
219	4933	17490
220	4951	17455
221	4972	17425
222	4999	17418
223	5022	17400
224	5042	17368
225	5069	17360
226	5100	17370
227	5130	17370
228	5153	17352
229	5172	17317
230	5192	17287
231	5211	17250
232	5229	17213
233	5247	17178
234	5265	17140
235	5282	17099
236	5299	17062
237	5318	17027
238	5336	16992
239	5348	16937
240	5373	16922
241	5395	16900
242	5420	16887
243	5443	16866
244	5466	16846
245	5486	16817
246	5507	16788
247	5527	16760
248	5555	16754
249	5572	16718
250	5602	16717
251	5620	16682
252	5642	16660
253	5660	16625
254	5685	16610
