iter	Logloss
0	0.672903794
1	0.6544846919
2	0.637988552
3	0.6224092792
4	0.6087887387
5	0.5953032064
6	0.5834704481
7	0.5732669282
8	0.5631606758
9	0.5535807354
10	0.5444733593
11	0.536538379
12	0.5294462303
13	0.5221913103
14	0.5158925075
15	0.5102615587
16	0.5047898603
17	0.4994487125
18	0.4946270696
19	0.4901860317
20	0.4863895099
21	0.4823829631
22	0.47882739
23	0.4754537316
24	0.4725286425
25	0.4697433452
26	0.4673741484
27	0.4653670301
28	0.4630007393
29	0.460847321
30	0.4589259227
31	0.4571551675
32	0.4554705621
33	0.4539617614
34	0.4523462817
35	0.4509272798
36	0.4496319483
37	0.44834049
38	0.4472809732
39	0.4461715385
40	0.4452827346
41	0.4443823245
42	0.4433911635
43	0.4425262751
44	0.4415530079
45	0.4407778779
46	0.4399532382
47	0.4392015834
48	0.4383924484
49	0.4377277529
50	0.4371847034
51	0.4367241255
52	0.4360857108
53	0.4356523315
54	0.4350396958
55	0.43448689
56	0.4339431114
57	0.4335065149
58	0.4330853934
59	0.4325968869
60	0.432243602
61	0.4318163073
62	0.4314372114
63	0.4311278223
64	0.4307700816
65	0.4303235499
66	0.4299227396
67	0.4295930207
68	0.4292705601
69	0.4288769045
70	0.4286045188
71	0.4282809233
72	0.4279417816
73	0.4275772124
74	0.427225988
75	0.4269921806
76	0.4267253603
77	0.4264527967
78	0.4260844863
79	0.4258536738
80	0.4256512699
81	0.4253714647
82	0.4251167061
83	0.424883053
84	0.4246450402
85	0.4243870868
86	0.4242189062
87	0.4240016761
88	0.4238667416
89	0.4236015895
90	0.4233770555
91	0.4231991572
92	0.4230051393
93	0.4227146659
94	0.4225288741
95	0.4222919285
96	0.422060385
97	0.4218645447
98	0.4215598794
99	0.4214040975
100	0.4211833022
101	0.4209130567
102	0.4206988965
103	0.4205782182
104	0.420452797
105	0.4203287546
106	0.4201409297
107	0.419967585
108	0.4198368531
109	0.419692124
110	0.4195307633
111	0.4193221377
112	0.4191379427
113	0.4189489516
114	0.4188062518
115	0.4186141932
116	0.4184398557
117	0.418314229
118	0.4180936103
119	0.4178958274
120	0.4176929132
121	0.4175982945
122	0.4174582132
123	0.4172974212
124	0.417181732
125	0.4170427296
126	0.4168402894
127	0.4166879807
128	0.4164576801
129	0.41630544
130	0.4161732289
131	0.4159564586
132	0.4158034773
133	0.4155095199
134	0.4153603385
135	0.4152514846
136	0.4151112754
137	0.4150120663
138	0.4147988598
139	0.4147006288
140	0.414586534
141	0.4143659815
142	0.414177801
143	0.4140528324
144	0.4139172624
145	0.41382311
146	0.4136195671
147	0.4135506652
148	0.4134359103
149	0.4132829075
150	0.4131011552
151	0.412953051
152	0.4127438755
153	0.4125813573
154	0.412448433
155	0.4123547983
156	0.4122194664
157	0.4120907311
158	0.4119753714
159	0.4118893406
160	0.4117500322
161	0.4116942888
162	0.4115877645
163	0.4114721539
164	0.4113575549
165	0.4112630433
166	0.4110841127
167	0.4109183178
168	0.4108100149
169	0.4106902155
170	0.4106264367
171	0.4105261123
172	0.4103200562
173	0.4101622374
174	0.4101118951
175	0.4100057998
176	0.4098546399
177	0.409727024
178	0.4096476312
179	0.4095714048
180	0.409425422
181	0.4092975205
182	0.4091963236
183	0.4090671405
184	0.4089747756
185	0.4089226044
186	0.4088306579
187	0.4086605161
188	0.4085132346
189	0.4083799127
190	0.408245353
191	0.4081372308
192	0.4079871069
193	0.4079007259
194	0.4077919793
195	0.4077090345
196	0.4075661649
197	0.4073335517
198	0.4072134975
199	0.4071465743
200	0.4070243019
201	0.406938766
202	0.4068364263
203	0.4067678226
204	0.4066700899
205	0.4065646062
206	0.4064723996
207	0.4062745723
208	0.4060786177
209	0.4060245952
210	0.4058851406
211	0.4056892462
212	0.4055178709
213	0.4053986605
214	0.4052545474
215	0.4052027104
216	0.4050504626
217	0.4049677346
218	0.4048568832
219	0.4047150639
220	0.4046771703
221	0.4045946143
222	0.4044156214
223	0.4043936144
224	0.4042359937
225	0.4041690424
226	0.4040811735
227	0.403962071
228	0.4038997711
229	0.4037852492
230	0.4036035845
231	0.403454056
232	0.4032845207
233	0.4031254364
234	0.4029321637
235	0.4028176217
236	0.4026609241
237	0.4025331113
238	0.4023831073
239	0.402323314
240	0.4022189293
241	0.4021025793
242	0.4019906537
243	0.4018529801
244	0.401783674
245	0.4017049351
246	0.4016295931
247	0.4015614913
248	0.4014108698
249	0.4012711681
250	0.4011889195
251	0.4010841232
252	0.4009875298
253	0.4008971118
254	0.4008265727
255	0.4007348015
256	0.4006363447
257	0.4005612864
258	0.4004486402
259	0.4003502731
260	0.4001808312
261	0.400071021
262	0.3999878165
263	0.3998477917
264	0.3997838241
265	0.3996732173
266	0.3994946569
267	0.3993311979
268	0.3991715266
269	0.3991308194
270	0.3990025085
271	0.3988892732
272	0.3987223191
273	0.3986290381
274	0.398556868
275	0.3984389568
276	0.3983527855
277	0.3982666427
278	0.398136094
279	0.3980166529
280	0.3979179427
281	0.3976893725
282	0.3975723005
283	0.3974643815
284	0.3972316783
285	0.3970512214
286	0.3970246989
287	0.3969539522
288	0.3968085489
289	0.3966431299
290	0.3964604809
291	0.3963051042
292	0.3960405216
293	0.3959449525
294	0.3957545457
295	0.3956686691
296	0.3955078692
297	0.3954426485
298	0.3953753141
299	0.3953031999
300	0.3951399963
301	0.3950914837
302	0.3949637676
303	0.3949056872
304	0.3947662211
305	0.3946622328
306	0.3945034431
307	0.3943489496
308	0.3941882667
309	0.3939932307
310	0.393836996
311	0.3935918053
312	0.3933543037
313	0.3931628677
314	0.393066361
315	0.3930147385
316	0.392907006
317	0.3927449517
318	0.3926712945
319	0.3924858464
320	0.3923586094
321	0.3922244539
322	0.3921762019
323	0.3920600163
324	0.3919420185
325	0.3918526857
326	0.3917107521
327	0.3915610488
328	0.3914061859
329	0.3913204032
330	0.3911666823
331	0.3910640832
332	0.3908961713
333	0.3907754429
334	0.3906475837
335	0.3904831476
336	0.3903757411
337	0.3903299876
338	0.3901901414
339	0.3900207103
340	0.3898126153
341	0.389701732
342	0.389559719
343	0.3894991441
344	0.389353133
345	0.3892188942
346	0.3890443987
347	0.388903556
348	0.388792934
349	0.3886655242
350	0.3884592537
351	0.3883101082
352	0.3882086012
353	0.3881488429
354	0.3880937952
355	0.3879542172
356	0.3877377893
357	0.3876636922
358	0.3875974876
359	0.3874273964
360	0.3872353253
361	0.3871325124
362	0.3870311044
363	0.3868926616
364	0.3867613847
365	0.3866790989
366	0.3865584972
367	0.3865190704
368	0.3864070602
369	0.3863431382
370	0.3862527067
371	0.3861327183
372	0.386073869
373	0.3860012061
374	0.3859445353
375	0.3858481024
376	0.3857549815
377	0.3857195564
378	0.3856305757
379	0.3855190812
380	0.3853656274
381	0.3852538842
382	0.3850619491
383	0.3849158249
384	0.3848011402
385	0.3847019431
386	0.3845585486
387	0.3843648869
388	0.3842158034
389	0.3841285916
390	0.3840238022
391	0.3839375806
392	0.3838709579
393	0.3837615356
394	0.3836332196
395	0.3834960551
396	0.3833786543
397	0.3832190331
398	0.383103201
399	0.3829632329
400	0.3827818839
401	0.3825937335
402	0.3824609906
403	0.3823359322
404	0.382276484
405	0.3822292375
406	0.3821130386
407	0.3820067168
408	0.3819446746
409	0.3817881523
410	0.3816592182
411	0.3815173949
412	0.3813840745
413	0.3812759648
414	0.3811410254
415	0.3810019446
416	0.3809044081
417	0.3807932442
418	0.3805607564
419	0.3805251858
420	0.3804118728
421	0.3803708363
422	0.3802849257
423	0.3801721341
424	0.3800920385
425	0.3799827026
426	0.379867766
427	0.3797874775
428	0.3797601253
429	0.3796710048
430	0.3795329134
431	0.3794227477
432	0.3793315557
433	0.3791984553
434	0.3790505093
435	0.3788773325
436	0.3787278121
437	0.3786931307
438	0.3786559007
439	0.3784820036
440	0.3783965139
441	0.3782548791
442	0.3780888637
443	0.3780184662
444	0.3778619094
445	0.3777264046
446	0.3775122035
447	0.3774316708
448	0.3773669087
449	0.3772351592
450	0.377116856
451	0.3770407885
452	0.3769403774
453	0.3768105389
454	0.3766991149
455	0.3765317361
456	0.3763820472
457	0.376346674
458	0.3762168163
459	0.3761584572
460	0.376018686
461	0.3759067398
462	0.3758125244
463	0.375746101
464	0.3755779145
465	0.3754958731
466	0.3754667495
467	0.3754231269
468	0.375315446
469	0.3751889819
470	0.37509926
471	0.3749931705
472	0.3749003318
473	0.3748102329
474	0.3746905746
475	0.3745377315
476	0.3744735129
477	0.374391966
478	0.3741875952
479	0.374154654
480	0.374096779
481	0.3740439204
482	0.3739425384
483	0.3737634167
484	0.3737123191
485	0.3736146505
486	0.3735327784
487	0.3733766247
488	0.3733084794
489	0.3732125599
490	0.3730602018
491	0.3728878518
492	0.3727465824
493	0.3726752001
494	0.3725884932
495	0.3724941689
496	0.3724013264
497	0.3723657322
498	0.3722817532
499	0.3721246314
500	0.3719610087
501	0.3718357088
502	0.3717389501
503	0.3715921379
504	0.3714893659
505	0.3713619032
506	0.3712034225
507	0.3710233237
508	0.3709133492
509	0.3707215134
510	0.3705886125
511	0.3704835891
512	0.3703763438
513	0.3703611025
514	0.3703067688
515	0.3702047205
516	0.3700980882
517	0.3700030625
518	0.3698421112
519	0.369790202
520	0.3697236941
521	0.369653051
522	0.3695255784
523	0.3694372261
524	0.369320017
525	0.3692103994
526	0.3691040558
527	0.3689793269
528	0.3688805
529	0.3688327738
530	0.368683859
531	0.3685599234
532	0.3684626738
533	0.3684162976
534	0.3682225182
535	0.3681078312
536	0.3680178828
537	0.367871618
538	0.3677472346
539	0.3675620752
540	0.3674807696
541	0.3673584022
542	0.3672992145
543	0.3671477118
544	0.367056769
545	0.3669396989
546	0.3668316327
547	0.3668094217
548	0.3666728121
549	0.3665696627
550	0.3664108744
551	0.3662729752
552	0.3661656198
553	0.3660654737
554	0.3659261755
555	0.3659029894
556	0.3656998963
557	0.3656625785
558	0.3656082252
559	0.3654943831
560	0.3653426549
561	0.3652606154
562	0.3651738997
563	0.3650931472
564	0.3650064247
565	0.3648926448
566	0.3648255439
567	0.3648188133
568	0.3647428812
569	0.3646033719
570	0.3645268228
571	0.364465268
572	0.36441121
573	0.3643475756
574	0.3642293943
575	0.3641107876
576	0.3640164867
577	0.3638766615
578	0.3637567243
579	0.3636737139
580	0.3635734132
581	0.3634542978
582	0.3633933913
583	0.3632638745
584	0.3632130588
585	0.3630816366
586	0.3629643214
587	0.3628630881
588	0.3627543909
589	0.3626691392
590	0.3625431417
591	0.362453934
592	0.3623980972
593	0.3623390024
594	0.3621777686
595	0.3621043061
596	0.3619943024
597	0.361895713
598	0.3617329268
599	0.3616758668
600	0.3616236602
601	0.3614584767
602	0.3613966964
603	0.3612713394
604	0.3612571485
605	0.3611476933
606	0.3610979212
607	0.3610406292
608	0.3610326286
609	0.360885051
610	0.3608136672
611	0.3607046588
612	0.3606057373
613	0.3604788033
614	0.3604182244
615	0.3602766892
616	0.3601630516
617	0.3599857738
618	0.3598531329
619	0.3597533191
620	0.359712333
621	0.3597040239
622	0.3596314068
623	0.3595411061
624	0.3594413377
625	0.3593800047
626	0.3592610569
627	0.3591090803
628	0.3589211637
629	0.3587954943
630	0.3586988929
631	0.3586173891
632	0.3584776098
633	0.358325931
634	0.3582314084
635	0.3581215535
636	0.3580049377
637	0.357903212
638	0.3578619447
639	0.357754831
640	0.3576305909
641	0.3575147105
642	0.3573878584
643	0.3572729787
644	0.3571079043
645	0.357006543
646	0.3569463596
647	0.3568318762
648	0.3566993828
649	0.3566413067
650	0.3565760142
651	0.3564938957
652	0.3563700882
653	0.3562859915
654	0.3561982452
655	0.3561642692
656	0.3560363492
657	0.355917994
658	0.3558621015
659	0.3558086783
660	0.3557902088
661	0.3557070182
662	0.3555621792
663	0.3554550015
664	0.3553697248
665	0.3552729477
666	0.3552654688
667	0.3551931458
668	0.3550197099
669	0.3549627509
670	0.3548091226
671	0.3547248917
672	0.3546032575
673	0.3545207565
674	0.3544067287
675	0.3543151974
676	0.3542238747
677	0.3541290158
678	0.354088982
679	0.3539952864
680	0.3539408041
681	0.3538298617
682	0.3537392083
683	0.3536370206
684	0.3535079028
685	0.3533704881
686	0.3532768316
687	0.3531439131
688	0.3530227064
