iter	Passed	Remaining
0	16	16879
1	31	15709
2	45	15042
3	59	14802
4	73	14664
5	87	14460
6	101	14404
7	109	13580
8	123	13593
9	137	13658
10	152	13675
11	165	13611
12	178	13567
13	193	13595
14	206	13554
15	221	13648
16	235	13638
17	249	13621
18	263	13611
19	276	13572
20	290	13533
21	304	13533
22	318	13534
23	332	13536
24	346	13517
25	361	13543
26	375	13523
27	388	13495
28	402	13493
29	416	13466
30	431	13488
31	445	13478
32	459	13463
33	473	13446
34	486	13424
35	501	13428
36	515	13414
37	528	13386
38	542	13365
39	556	13345
40	570	13344
41	584	13328
42	598	13313
43	611	13289
44	625	13280
45	639	13264
46	653	13253
47	667	13237
48	681	13217
49	695	13208
50	710	13229
51	724	13214
52	741	13251
53	763	13374
54	777	13351
55	790	13328
56	804	13310
57	818	13287
58	832	13274
59	846	13260
60	860	13242
61	874	13226
62	888	13216
63	902	13197
64	916	13184
65	930	13160
66	943	13143
67	958	13132
68	972	13122
69	991	13176
70	1005	13152
71	1018	13133
72	1032	13114
73	1046	13101
74	1061	13091
75	1075	13076
76	1089	13058
77	1104	13055
78	1120	13057
79	1133	13039
80	1148	13026
81	1162	13019
82	1176	12999
83	1190	12980
84	1204	12970
85	1220	12976
86	1234	12958
87	1248	12940
88	1261	12917
89	1276	12902
90	1291	12900
91	1305	12882
92	1318	12860
93	1332	12842
94	1346	12828
95	1361	12817
96	1375	12800
97	1388	12779
98	1408	12818
99	1422	12800
100	1436	12782
101	1450	12771
102	1464	12755
103	1478	12734
104	1491	12715
105	1506	12703
106	1520	12685
107	1533	12667
108	1547	12645
109	1560	12627
110	1575	12615
111	1589	12599
112	1603	12584
113	1617	12567
114	1631	12552
115	1645	12537
116	1659	12523
117	1672	12504
118	1688	12497
119	1702	12483
120	1717	12479
121	1731	12461
122	1745	12446
123	1763	12454
124	1785	12498
125	1799	12478
126	1813	12463
127	1827	12446
128	1841	12433
129	1856	12421
130	1870	12404
131	1884	12391
132	1898	12376
133	1912	12360
134	1926	12342
135	1940	12328
136	1954	12311
137	1968	12295
138	1983	12283
139	1997	12269
140	2011	12253
141	2025	12235
